tau alpha beta logZsun
1.299995487301497654e+01 5.179908376369901646e+01 2.453153709807429195e+00 2.030561474841792169e-01
1.298625519072490242e+01 5.121299560125199690e+01 2.463978773397479838e+00 1.913859292335708950e-01
1.299134250900426402e+01 5.276739634707848126e+01 2.794590022669490637e+00 2.220442992204167965e-01
1.299750948662053851e+01 5.296254695952725911e+01 2.715989015450511967e+00 2.159902392800598925e-01
1.299851868918534059e+01 5.047545592731476916e+01 2.253701355258608707e+00 1.916958758680555874e-01
1.299103488044644550e+01 5.032489899875430694e+01 2.286142613709029714e+00 1.852464851035708904e-01
1.299254847831208792e+01 5.074653149175297528e+01 2.267593429363908619e+00 1.838840260823819683e-01
1.299851601181608096e+01 5.113488060405095581e+01 2.386450729554029149e+00 1.999313016272057375e-01
1.299990506483507069e+01 5.187024669515886188e+01 2.401413247589111233e+00 1.941108076246926828e-01
1.298689895921297399e+01 5.059940163961889681e+01 2.394645202650190541e+00 1.892769339541438001e-01
1.299638403676145693e+01 5.283637671533320201e+01 2.742886536250726426e+00 2.177140528951309051e-01
1.299963663190386320e+01 5.082886377575280790e+01 2.227044973094145952e+00 1.863805085583614130e-01
1.299676280273183515e+01 5.162376469502769538e+01 2.549891485757347809e+00 2.135069283052231093e-01
1.299940682515994439e+01 5.225421981275247418e+01 2.482855458511318947e+00 1.967903860315960429e-01
1.299839840663304713e+01 5.030679629758129323e+01 2.193031104139345100e+00 1.838929317294031307e-01
1.299539361096941548e+01 5.220673430956374261e+01 2.653122310372814763e+00 2.143597281194464799e-01
1.299480382771664821e+01 5.223392685363856458e+01 2.786292212472564866e+00 2.308118732204262891e-01
1.299830076087043373e+01 4.998466237480793239e+01 2.138020656127601171e+00 1.788881003111075785e-01
1.299990506483507069e+01 5.187024669515886188e+01 2.401413247589111233e+00 1.941108076246926828e-01
1.299907757982086309e+01 5.274941551769136083e+01 2.780577884504733532e+00 2.258682254966402070e-01
1.299061431312547299e+01 5.110365245789972022e+01 2.452544263689601323e+00 1.966643373491270275e-01
1.299496735677574044e+01 5.217784604301904494e+01 2.567128613006778526e+00 2.040718592581587387e-01
1.299854467317598150e+01 5.303409990480607661e+01 2.784114045498145451e+00 2.247714397208802062e-01
1.299672365321730538e+01 5.066866528430757910e+01 2.208892149171296726e+00 1.775931086163042849e-01
1.299824457453406978e+01 5.241945715474306411e+01 2.460077257360301584e+00 1.952416988961318545e-01
1.299256798554797143e+01 5.020286476793314989e+01 2.260539721790980838e+00 1.878732019944635567e-01
1.299646898365003977e+01 5.102457706996317910e+01 2.364618164999447103e+00 1.974465301786958449e-01
1.298924045457879295e+01 4.949534003067096677e+01 2.089019812064448534e+00 1.681557776612598865e-01
1.299876299061541474e+01 5.276951570063430808e+01 2.672759052118307999e+00 2.130014203946442031e-01
