9.973517167711839493e-01,8.647630524779975625e-01,1.813722188565614069e-01,9.253350431713562863e-01
9.801421214896999246e-01,6.881515305926344528e-01,4.522145972119818724e-01,9.221520601861235011e-01
9.442684874458626698e-01,5.675305276253531650e-01,4.545933064847698102e-01,8.783220799526028078e-01
9.972894465919185381e-01,8.201902730737584690e-01,2.288513574789718952e-01,9.269602298606489654e-01
9.612442502049403092e-01,6.323881218866171938e-01,5.888999164071309078e-01,9.043742426207085350e-01
9.193698202718770807e-01,5.430807248084952299e-01,1.650293533652184008e-01,7.651179770783002043e-01
9.563123360623086988e-01,6.009644449607779437e-01,5.524280781420987108e-01,9.070538579826888936e-01
7.860300573888765463e-01,4.313923437117505033e-01,3.284272459717592074e-01,7.752747191295334961e-01
7.973673959184530702e-01,4.611008226634264462e-01,5.741103155495589361e-01,7.761571740666927122e-01
8.855344925700481262e-01,4.658125003461784930e-01,6.532775998788875604e-03,7.996213361840925904e-01
9.833475907303791397e-01,6.496128760687593928e-01,1.955801245998400884e-01,8.739579698246909834e-01
9.897913600497822983e-01,8.201063998719626547e-01,2.897485621103890185e-01,8.991810979445977736e-01
7.952898406989201696e-01,4.567644530402236169e-01,9.563077038061709167e-01,7.862458369032071515e-01
9.877452196359023384e-01,7.216130332665408043e-01,2.090353516952668800e-01,8.848855394580051881e-01
8.521363096453816732e-01,4.643048219342915672e-01,2.713290619876348453e-01,7.825239527963219199e-01
9.944777467635164125e-01,9.596037399179101479e-01,1.690483248748477774e-01,9.003355845715825811e-01
9.932565607680148290e-01,8.533500208631699113e-01,5.653376311214530769e-02,8.848038431928649805e-01
9.986503816018391655e-01,8.140737986301270768e-01,2.981922353878244669e-01,9.617483625048333096e-01
9.870989766422993972e-01,7.095667762330805095e-01,3.654217079990774719e-01,9.214149828500095563e-01
9.437892431912270341e-01,5.919990405094858188e-01,9.474643701472308388e-01,8.865662399859083331e-01
9.874577557621416757e-01,6.989982149536771994e-01,2.137652710330766315e-01,8.890680810442114224e-01
9.275055365287588893e-01,5.215701428816759133e-01,4.540558987052811801e-02,7.917954256550455705e-01
9.993827079563957216e-01,9.766014727050262856e-01,2.397840648190898705e-01,9.478535870776040317e-01
9.121219276981631374e-01,5.140698411403443746e-01,7.854463033230363322e-02,7.656863378034373113e-01
9.955635307111446730e-01,7.993345813238591502e-01,1.856452743375975323e-01,9.160178871247465215e-01
9.967968368050568184e-01,8.952196239889023133e-01,1.711317907854243980e-01,9.111546887746780898e-01
8.119988254607568567e-01,4.736881931155502157e-01,6.295025546971247943e-01,7.736507169016473284e-01
9.992882564596192729e-01,8.913001314360887717e-01,1.698865753274703128e-02,9.127535653378091585e-01
9.965435412989918085e-01,9.871100699166930337e-01,2.496231388762406578e-01,9.256211948860066929e-01
9.923526383907073090e-01,9.319483702700425143e-01,2.800774192816160024e-01,9.173977996919152611e-01
9.946714294325067485e-01,8.179174530203752180e-01,1.631283761354138662e-01,9.048295028765527270e-01
9.659270078460540088e-01,6.287853530280212988e-01,4.756662558374065153e-01,9.005762466460842663e-01
9.854652959305555404e-01,6.476033702735999320e-01,1.118692189057719499e-01,8.784798819427965810e-01
9.923206387781968729e-01,8.449628264833342062e-01,2.872054580268179613e-01,9.136208497543963913e-01
9.936107984101112400e-01,7.258038589159204745e-01,1.893814874624690781e-01,9.040110705639066158e-01
9.388354156951770335e-01,5.878471041739607994e-01,8.689114804766223665e-01,8.755329280323895791e-01
9.927454434060313249e-01,9.914900376575523921e-01,1.067833295235451896e-01,8.814268236632759601e-01
9.988888286299217878e-01,9.507939188842350342e-01,5.382051233816631530e-03,9.022877130610310603e-01
9.889782657310857150e-01,6.908320107131986632e-01,6.993539253253955312e-02,8.775448253106590268e-01
9.848808065799126155e-01,7.241856936106311204e-01,3.358832341620379136e-01,9.036771105353873512e-01
9.871214870447660994e-01,6.420630749913118773e-01,9.267384061274253071e-03,8.897451755457260747e-01
9.242164772686329854e-01,5.637261386034309041e-01,8.425776509526941016e-01,8.667719596793386216e-01
9.928221194194597476e-01,8.722342785110910324e-01,1.338839512361749140e-01,8.842018996236775674e-01
7.536226357141445620e-01,4.297772246821471853e-01,5.717039798935925621e-01,7.858767344520405373e-01
8.034053662151042774e-01,4.587370016843580478e-01,9.135896822817153318e-01,7.909434568811589683e-01
9.931605312322940859e-01,8.821266319963461111e-01,2.507836001514737179e-01,9.048457031149782503e-01
9.912781979446585456e-01,7.389684739681454673e-01,2.686279220126216449e-01,9.048587242789944973e-01
9.933332454901272479e-01,9.507587242614170542e-01,1.336387616637514375e-01,8.791745919850834090e-01
9.838101428469652188e-01,6.623319668553450112e-01,1.969813647650049404e-01,8.753363881648218436e-01
