11:00:08 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=False, log_dir=/home/chengz/Code/opencode/bigs_v2/out_manga_demo/chains_dpl, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
11:00:08 [ultranest] [INFO] Sampling 400 live points from prior ...
11:00:08 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.50, Lepsilon=0.0010, min_ess=400
11:00:08 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:00:08 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
11:00:11 [ultranest] [DEBUG] iteration=637, ncalls=1621, regioncalls=1664, ndraw=128, logz=-31586.92, remainder_fraction=100.0000%, Lmin=-31521.48, Lmax=-4660.44
11:00:11 [ultranest] [DEBUG] iteration=640, ncalls=1621, regioncalls=1664, ndraw=128, logz=-30692.23, remainder_fraction=100.0000%, Lmin=-30667.08, Lmax=-4660.44
11:00:11 [ultranest] [DEBUG] iteration=680, ncalls=1688, regioncalls=1792, ndraw=128, logz=-26841.03, remainder_fraction=100.0000%, Lmin=-26742.67, Lmax=-4660.44
11:00:12 [ultranest] [DEBUG] iteration=681, ncalls=1744, regioncalls=1920, ndraw=128, logz=-26750.36, remainder_fraction=100.0000%, Lmin=-26567.65, Lmax=-4660.44
11:00:12 [ultranest] [DEBUG] iteration=698, ncalls=1798, regioncalls=2048, ndraw=128, logz=-25403.80, remainder_fraction=100.0000%, Lmin=-25309.18, Lmax=-4660.44
11:00:12 [ultranest] [DEBUG] iteration=713, ncalls=1857, regioncalls=2176, ndraw=128, logz=-23794.74, remainder_fraction=100.0000%, Lmin=-23776.17, Lmax=-4660.44
11:00:12 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
11:00:12 [ultranest] [DEBUG] iteration=720, ncalls=1857, regioncalls=2176, ndraw=128, logz=-23333.26, remainder_fraction=100.0000%, Lmin=-23259.34, Lmax=-4660.44
11:00:12 [ultranest] [DEBUG] iteration=729, ncalls=1920, regioncalls=2304, ndraw=128, logz=-22533.68, remainder_fraction=100.0000%, Lmin=-22512.25, Lmax=-4660.44
11:00:12 [ultranest] [DEBUG] iteration=760, ncalls=1976, regioncalls=2432, ndraw=128, logz=-20087.27, remainder_fraction=100.0000%, Lmin=-20076.54, Lmax=-4507.40
11:00:13 [ultranest] [DEBUG] iteration=792, ncalls=2094, regioncalls=2688, ndraw=128, logz=-17803.55, remainder_fraction=100.0000%, Lmin=-17619.24, Lmax=-4507.40
11:00:13 [ultranest] [DEBUG] iteration=800, ncalls=2094, regioncalls=2688, ndraw=128, logz=-17279.36, remainder_fraction=100.0000%, Lmin=-16981.66, Lmax=-4507.40
11:00:13 [ultranest] [DEBUG] iteration=810, ncalls=2094, regioncalls=2688, ndraw=128, logz=-16783.70, remainder_fraction=100.0000%, Lmin=-16689.53, Lmax=-4507.40
11:00:13 [ultranest] [DEBUG] iteration=811, ncalls=2143, regioncalls=2816, ndraw=128, logz=-16697.55, remainder_fraction=100.0000%, Lmin=-16685.25, Lmax=-4507.40
11:00:13 [ultranest] [DEBUG] iteration=828, ncalls=2193, regioncalls=2944, ndraw=128, logz=-15787.99, remainder_fraction=100.0000%, Lmin=-15760.57, Lmax=-4507.40
11:00:13 [ultranest] [DEBUG] iteration=836, ncalls=2245, regioncalls=3072, ndraw=128, logz=-15330.52, remainder_fraction=100.0000%, Lmin=-15287.90, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=840, ncalls=2245, regioncalls=3072, ndraw=128, logz=-15058.10, remainder_fraction=100.0000%, Lmin=-15002.08, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=875, ncalls=2368, regioncalls=3328, ndraw=128, logz=-13518.90, remainder_fraction=100.0000%, Lmin=-13491.84, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=880, ncalls=2368, regioncalls=3328, ndraw=128, logz=-13376.54, remainder_fraction=100.0000%, Lmin=-13316.70, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=920, ncalls=2468, regioncalls=3584, ndraw=128, logz=-11911.06, remainder_fraction=100.0000%, Lmin=-11866.21, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=937, ncalls=2564, regioncalls=3840, ndraw=128, logz=-11320.41, remainder_fraction=100.0000%, Lmin=-11305.73, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=946, ncalls=2606, regioncalls=3968, ndraw=128, logz=-11138.93, remainder_fraction=100.0000%, Lmin=-11102.34, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=960, ncalls=2606, regioncalls=3968, ndraw=128, logz=-10774.86, remainder_fraction=100.0000%, Lmin=-10758.08, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=961, ncalls=2659, regioncalls=4096, ndraw=128, logz=-10766.47, remainder_fraction=100.0000%, Lmin=-10704.61, Lmax=-4507.40
11:00:14 [ultranest] [DEBUG] iteration=1000, ncalls=2804, regioncalls=4480, ndraw=128, logz=-9619.37, remainder_fraction=100.0000%, Lmin=-9607.26, Lmax=-4507.40
11:00:15 [ultranest] [DEBUG] iteration=1003, ncalls=2850, regioncalls=4608, ndraw=128, logz=-9586.38, remainder_fraction=100.0000%, Lmin=-9520.31, Lmax=-4507.40
11:00:15 [ultranest] [DEBUG] iteration=1013, ncalls=2893, regioncalls=4736, ndraw=128, logz=-9401.88, remainder_fraction=100.0000%, Lmin=-9392.15, Lmax=-4507.40
