t0 tau logZsun
1.066742912472613192e+01 4.759475922542560911e-01 1.475650749824533037e-01
1.055589455666454768e+01 4.967101217145433179e-01 1.352356896665729558e-01
1.084296766166502479e+01 4.458107084703858414e-01 1.819320083717861358e-01
1.095645251766129391e+01 4.251892674960299212e-01 2.044385285956820120e-01
1.091453236984631836e+01 4.326821499929161541e-01 1.957884217775700542e-01
1.067966417377034816e+01 4.718297009539322295e-01 1.408777290065450494e-01
1.057031484204748750e+01 4.902826574742877863e-01 1.137175472433371581e-01
1.059797541930992715e+01 4.850931881343732432e-01 1.198876377626367784e-01
1.066077241471793791e+01 4.768381307054446738e-01 1.475861163797951292e-01
1.096163961341219029e+01 4.228398970220424991e-01 1.952823813766615402e-01
1.089369934895610115e+01 4.336155787599446643e-01 1.717418908199879191e-01
1.094166321989511736e+01 4.262126942340075941e-01 1.924137102119014564e-01
1.094757125986687818e+01 4.277682074101026855e-01 2.090165160252275278e-01
1.082475350637685274e+01 4.463959474365490343e-01 1.700047509601136930e-01
1.089206606406361466e+01 4.380180082721793489e-01 1.957913952987571093e-01
1.064213721793322698e+01 4.813680266439127609e-01 1.418564922986074173e-01
1.086827263286205714e+01 4.410038555116856940e-01 1.884727987803485050e-01
1.059990821629580182e+01 4.868327813603012255e-01 1.334628235186898770e-01
1.067859501780207054e+01 4.726689286262547585e-01 1.470624043469692666e-01
1.066277312008915601e+01 4.744592113440793679e-01 1.332451174260516069e-01
1.068404089344166508e+01 4.712944460799353696e-01 1.463376389157318158e-01
1.067029559337720812e+01 4.753601162941975544e-01 1.450343698254896729e-01
1.087928581658663951e+01 4.405530070276585941e-01 1.885440722530886681e-01
1.065655764889706703e+01 4.751974815625475967e-01 1.348322666108470180e-01
1.085537562536634049e+01 4.414480007819629459e-01 1.726265269409501535e-01
1.094490334252592412e+01 4.258026555961356152e-01 1.921887817449197122e-01
1.062786113039329727e+01 4.838870083007429379e-01 1.429159860790902847e-01
1.086467610704340458e+01 4.398729453184554994e-01 1.739144291761216543e-01
1.085895364442075817e+01 4.418390585310715268e-01 1.767890952033970287e-01
1.092339544237109195e+01 4.304815045205945823e-01 1.862064608698528190e-01
1.058361894361334699e+01 4.919541918383146251e-01 1.429643378092650963e-01
1.066789923418906483e+01 4.764404442124766659e-01 1.460224907699032570e-01
1.092980268084501638e+01 4.291857882466527108e-01 1.954416202578102002e-01
1.061127451774547836e+01 4.842878025145893606e-01 1.281346157020197829e-01
1.094498824492128364e+01 4.269349015777340051e-01 1.975318568478487968e-01
1.086269872747994292e+01 4.423679162544679744e-01 1.857649383157240486e-01
1.093411816234410416e+01 4.333672046446247483e-01 2.133979527997187375e-01
1.093452116255200579e+01 4.292329961621602630e-01 1.946731981674449941e-01
1.104115641173639872e+01 4.081539673718890260e-01 2.089557299792978995e-01
1.090537424891366136e+01 4.329096604192168019e-01 1.828824621819444829e-01
1.084261833331205871e+01 4.454363761895666629e-01 1.840154562186100407e-01
1.092436210055395485e+01 4.357219729423836840e-01 2.189365180746389861e-01
1.060158956255820506e+01 4.871465961239533349e-01 1.305347103956666643e-01
1.060241085774774916e+01 4.869033262195426315e-01 1.321074064873202225e-01
1.059545551413375009e+01 4.867708329478084295e-01 1.302831873629726189e-01
1.091851894459773753e+01 4.338527581338569306e-01 2.010522325849626313e-01
1.068364067316865373e+01 4.712159195920841981e-01 1.486720054213397368e-01
1.059427366052264574e+01 4.851836013151374916e-01 1.124898679757015962e-01
1.070259179253789661e+01 4.672866563363599068e-01 1.535901654222482371e-01
1.083301816373534265e+01 4.435841282927651119e-01 1.683287571736657995e-01
1.058803204825116495e+01 4.892570057185757770e-01 1.331727077246127600e-01
1.066600555781398718e+01 4.767661123324573591e-01 1.473952514386667190e-01
1.057606999270631398e+01 4.904849949205951631e-01 1.271295826072740276e-01
1.068605965689593518e+01 4.742509081694253892e-01 1.637726390722962222e-01
1.089560417124067726e+01 4.379774997875345854e-01 2.009393115923989726e-01
1.055997574218116242e+01 4.947473411018943334e-01 1.336760549305839874e-01
1.069263349392135964e+01 4.711906943209631105e-01 1.600322530256388376e-01
1.057606999270631398e+01 4.904849949205951631e-01 1.271295826072740276e-01
1.082765689544899068e+01 4.466490999632899417e-01 1.758017014332708960e-01
1.087771147253735471e+01 4.428832930700873916e-01 1.979325126678963542e-01
